Period,Subsidiary,Transaction Number,Document Number,Reversal Of No.,Type,Name,Number,Display Name,Amount (Debit),Amount (Credit),Amount,Memo (Main),Memo,Amount (Debit) (Foreign Currency),Amount (Credit) (Foreign Currency),Currency,Exchange Rate,Department,Created By,Auto Approved JE
May 2025,"SentinelOne, Inc.",JOURNAL114307,JE114307,,Journal,"DHL Mahi OPCO, LLC",68100,68100 Sales Related Expenses : Sales Conference & Services,"227,999.99 ",0.00 ,"227,999.99 ",,Amortization Destination,"227,999.99 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,Yes
May 2025,"SentinelOne, Inc.",JOURNAL114309,JE114309,,Journal,"DHL Mahi OPCO, LLC",68100,68100 Sales Related Expenses : Sales Conference & Services,"105,625.50 ",0.00 ,"105,625.50 ",,Amortization Destination,"105,625.50 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,Yes
May 2025,"SentinelOne, Inc.",JOURNAL114309,JE114309,,Journal,"DHL Mahi OPCO, LLC",68100,68100 Sales Related Expenses : Sales Conference & Services,"23,825.75 ",0.00 ,"23,825.75 ",,Amortization Destination,"23,825.75 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,Yes
May 2025,"SentinelOne, Inc.",JOURNAL114310,JE114310,,Journal,"DHL Mahi OPCO, LLC",68100,68100 Sales Related Expenses : Sales Conference & Services,"81,799.75 ",0.00 ,"81,799.75 ",,Amortization Destination,"81,799.75 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,Yes
May 2025,"SentinelOne, Inc.",JOURNAL114311,JE114311,,Journal,"DHL Mahi OPCO, LLC",68100,68100 Sales Related Expenses : Sales Conference & Services,"81,799.75 ",0.00 ,"81,799.75 ",,Amortization Destination,"81,799.75 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,Yes
May 2025,"SentinelOne, Inc.",JOURNAL118493,JE118493,,Journal,Exclusive Networks Sweden AB,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"1,938.02 ","(1,938.02)",,Rev Rec Destination,0.00 ,"1,938.02 ",USD,1,,Emily Iverson,Yes
May 2025,"SentinelOne, Inc.",JOURNAL118189,JE118189,,Journal,Hackett Printing LLC,68100,68100 Sales Related Expenses : Sales Conference & Services,500.00 ,0.00 ,500.00 ,AP Accrual - May 2025 Pending Invoice approval,AP Accrual - May 2025 Pending Invoice approval  1165,500.00 ,0.00 ,USD,1,40100 Sales Management,Yazhi Liu,No
May 2025,"SentinelOne, Inc.",JOURNAL118184,JE118184,,Journal,Jack Nadel International,68100,68100 Sales Related Expenses : Sales Conference & Services,113.03 ,0.00 ,113.03 ,AP Accrual - May 2025 Open PO accruals,AP Accrual - May 2025 Open PO accruals 16917-1,113.03 ,0.00 ,USD,1,40100 Sales Management,Yazhi Liu,No
May 2025,"SentinelOne, Inc.",JOURNAL111927,JE111927,JE111926,Journal,"Navan, Inc",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"7,000.00 ","(7,000.00)",AP Accrual - April 2025 Pending Invoice approval,AP Accrual - April 2025 Pending Invoice approval  INV1993058,0.00 ,"7,000.00 ",USD,1,40100 Sales Management,Andy Lee,No
May 2025,"SentinelOne, Inc.",JOURNAL118187,JE118187,,Journal,West Publishing Corporation,68100,68100 Sales Related Expenses : Sales Conference & Services,"234,000.00 ",0.00 ,"234,000.00 ",AP Accrual - May 2025 Manual Accrual,AP Accrual - May 2025 Manual Accrual  - estimate,"234,000.00 ",0.00 ,USD,1,40100 Sales Management,Yazhi Liu,No
May 2025,"SentinelOne, Inc.",VENDBILL54532,INV1993058,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"7,000.00 ",0.00 ,"7,000.00 ","Coupa Invoice ID: 35349 - Navan, Inc",President's Club 2025 - Flight Booking Service,"7,000.00 ",0.00 ,USD,1,40100 Sales Management,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8349,152681528,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,204.96 ,0.00 ,204.96 ,NADEL STORES #444,NADEL STORES #444,204.96 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8366,152863753,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"3,912.00 ",0.00 ,"3,912.00 ",PAYPAL *SLAMCITYENT,PAYPAL *SLAMCITYENT,"3,912.00 ",0.00 ,USD,1,43300 Cloud Sales,-System-,
May 2025,SentinelOne B.V. (USD),CARDCHRG8386,153001922,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,504.02 ,0.00 ,504.02 ,Mol*Company Sandwich H,Mol*Company Sandwich H,443.58 ,0.00 ,EUR,1.13625,43600 Enterprise Sales - EMEA,-System-,
May 2025,SentinelOne B.V. (USD),CARDCHRG8389,153001923,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,569.26 ,0.00 ,569.26 ,Mol*Company Sandwich H,Mol*Company Sandwich H,501.00 ,0.00 ,EUR,1.13625,43600 Enterprise Sales - EMEA,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8399,153126417,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,000.00 ",0.00 ,"2,000.00 ",IN *ENTERPRISE NETWORK,IN *ENTERPRISE NETWORK,"2,000.00 ",0.00 ,USD,1,42000 Channel Sales,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8414,153126406,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,385.64 ,0.00 ,385.64 ,WILLIAMS-SONOMA.COM,WILLIAMS-SONOMA.COM,385.64 ,0.00 ,USD,1,42000 Channel Sales,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8426,153266527,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,800.00 ,0.00 ,800.00 ,IN *ASSOCIATION FOR CO,IN *ASSOCIATION FOR CO,800.00 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8436,153266517,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,213.68 ",0.00 ,"1,213.68 ",TM *TICKETMASTER,TM *TICKETMASTER,"1,213.68 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",VENDBILL54814,INV-2519,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,616.00 ",0.00 ,"2,616.00 ",Coupa Invoice ID: 35688 - 9317-6261 QUEBEC INC. (SPORTMRKT Group),Sysco Houston Opp,"2,616.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",VENDBILL54836,INV-2531,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,091.00 ",0.00 ,"2,091.00 ",Coupa Invoice ID: 35685 - 9317-6261 QUEBEC INC. (SPORTMRKT Group),GSW Tickets with Abbott,"2,091.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",VENDBILL54870,4110303964,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,386.00 ",0.00 ,"1,386.00 ",Coupa Invoice ID: 35691 - Cvent Inc.,President's Club 2025 - Event App Licenses,"1,386.00 ",0.00 ,USD,1,40100 Sales Management,-System-,
May 2025,SentinelOne CZ s.r.o. (USD),VENDBILL54907,VF25033,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,518.19 ,0.00 ,518.19 ,Coupa Invoice ID: 35798 - Karlínská Holka s.r.o.,EBC Lunch,"11,370.19 ",0.00 ,CZK,0.0455746,43600 Enterprise Sales - EMEA,-System-,
May 2025,SentinelOne CZ s.r.o. (USD),VENDBILL54907,VF25033,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,70.84 ,0.00 ,70.84 ,Coupa Invoice ID: 35798 - Karlínská Holka s.r.o.,EBC Lunch,"1,554.46 ",0.00 ,CZK,0.0455746,43600 Enterprise Sales - EMEA,-System-,
May 2025,SentinelOne CZ s.r.o. (USD),VENDBILL54907,VF25033,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,0.02 ,(0.02),Coupa Invoice ID: 35798 - Karlínská Holka s.r.o.,EBC Lunch,0.00 ,0.51 ,CZK,0.0455746,43600 Enterprise Sales - EMEA,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8502,153745378,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,379.90 ,0.00 ,379.90 ,Amazon.com,Amazon.com,379.90 ,0.00 ,USD,1,42000 Channel Sales,-System-,
May 2025,"SentinelOne, Inc.",VENDBILL54946,19,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"7,200.00 ",0.00 ,"7,200.00 ",Coupa Invoice ID: 35779 - Tavits Photography,President's Club 2025 - Photographer,"7,200.00 ",0.00 ,USD,1,40100 Sales Management,-System-,
May 2025,"SentinelOne, Inc.",VENDBILL54951,INV-2556,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,600.00 ",0.00 ,"2,600.00 ",Coupa Invoice ID: 35768 - 9317-6261 QUEBEC INC. (SPORTMRKT Group),Sysco Houston Opp,"2,600.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8535,154022233,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,560.00 ",0.00 ,"1,560.00 ",PAYPAL *SLAMCITYENT,PAYPAL *SLAMCITYENT,"1,560.00 ",0.00 ,USD,1,43300 Cloud Sales,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8538,154022234,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,260.41 ,0.00 ,260.41 ,ENCHANTEDF* ENCHANTEDF,ENCHANTEDF* ENCHANTEDF,260.41 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8551,154081550,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"4,377.50 ",0.00 ,"4,377.50 ",NORTH CAROLINA SHERIFF,NORTH CAROLINA SHERIFF,"4,377.50 ",0.00 ,USD,1,46300 Solution Engineering - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8562,154278306,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,178.24 ",0.00 ,"1,178.24 ",TST* BALDAMAR,TST* BALDAMAR,"1,178.24 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8574,154278299,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,904.00 ",0.00 ,"1,904.00 ",TM *TICKETMASTER,TM *TICKETMASTER,"1,904.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",VENDBILL55079,2000012894,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"195,000.00 ",0.00 ,"195,000.00 ","Coupa Invoice ID: 35958 - Creative Group, Inc.","President's Club 2025 - Decor, AV, Signage","195,000.00 ",0.00 ,USD,1,40100 Sales Management,-System-,
May 2025,"SentinelOne, Inc.",VENDBILL55080,2000012893,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"180,000.00 ",0.00 ,"180,000.00 ","Coupa Invoice ID: 35959 - Creative Group, Inc.","President's Club 2025 - Swag, entertainment, videography, gifting-(ADDITIONAL VENDOR DEPOSIT DUE (PO16565))","180,000.00 ",0.00 ,USD,1,40100 Sales Management,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8577,154419623,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,665.98 ",0.00 ,"1,665.98 ",THE TAILOR SHOP,THE TAILOR SHOP,"1,665.98 ",0.00 ,USD,1,42000 Channel Sales,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8583,154419637,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,199.98 ",0.00 ,"1,199.98 ",SOHOHOUSE AUSTIN HP&EV,SOHOHOUSE AUSTIN HP&EV,"1,199.98 ",0.00 ,USD,1,42000 Channel Sales,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8591,154419630,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,500.00 ",0.00 ,"2,500.00 ",ALLIANCE TECHNOLOGY GR,ALLIANCE TECHNOLOGY GR,"2,500.00 ",0.00 ,USD,1,42000 Channel Sales,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8600,154567134,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,800.00 ",0.00 ,"1,800.00 ",CAPITAL GRILLE 0138078,CAPITAL GRILLE 0138078,"1,800.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8641,154860520,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,300.00 ",0.00 ,"1,300.00 ",HYATT REGENCY HNTNG BC,HYATT REGENCY HNTNG BC,"1,300.00 ",0.00 ,USD,1,42000 Channel Sales,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8648,154860527,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,750.00 ",0.00 ,"1,750.00 ",RMISC 2020 CONFERENCE,RMISC 2020 CONFERENCE,"1,750.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8651,154927112,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,978.80 ",0.00 ,"1,978.80 ",SEATGEEK TICKETS,SEATGEEK TICKETS,"1,978.80 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8652,154927113,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,702.80 ",0.00 ,"1,702.80 ",SEATGEEK TICKETS,SEATGEEK TICKETS,"1,702.80 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8656,155148010,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,200.00 ",0.00 ,"1,200.00 ",EB *2025 MSTUG MEMBERS,EB *2025 MSTUG MEMBERS,"1,200.00 ",0.00 ,USD,1,46300 Solution Engineering - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8656,155148010,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,350.00 ,0.00 ,350.00 ,EB *2025 MSTUG MEMBERS,EB *2025 MSTUG MEMBERS,350.00 ,0.00 ,USD,1,46300 Solution Engineering - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8665,155148005,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,500.00 ,0.00 ,500.00 ,PALM TREE CLUB,PALM TREE CLUB,500.00 ,0.00 ,USD,1,42000 Channel Sales,-System-,
May 2025,"SentinelOne, Inc.",CARDRFND217,155431089,,CCard Refund,,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"1,213.68 ","(1,213.68)",TM *TICKETMASTER TKTS,TM *TICKETMASTER TKTS,0.00 ,"1,213.68 ",USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",VENDBILL55393,55170690,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,934.53 ",0.00 ,"1,934.53 ",Coupa Invoice ID: 36365 - Jack Nadel International,President's Club 2025 - Staff Hawaiian Shirts,"1,934.53 ",0.00 ,USD,1,40100 Sales Management,-System-,
May 2025,"SentinelOne, Inc.",VENDBILL55393,55170690,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,28.50 ,0.00 ,28.50 ,Coupa Invoice ID: 36365 - Jack Nadel International,Shipping Charges for Invoice line: President's Club 2025 - Staff Hawaiian Shirts,28.50 ,0.00 ,USD,1,40100 Sales Management,-System-,
May 2025,"SentinelOne, Inc.",VENDBILL55397,HSE1378,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,068.71 ",0.00 ,"2,068.71 ","Coupa Invoice ID: 36356 - Horizon Sports & Experiences, LLC",Montreal Grand Prix - Hotel Bonaparte,"2,068.71 ",0.00 ,USD,1,40100 Sales Management,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8705,155573664,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,849.40 ",0.00 ,"1,849.40 ",SPANISH OAKS GOLF CLUB,SPANISH OAKS GOLF CLUB,"1,849.40 ",0.00 ,USD,1,42000 Channel Sales,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8708,155573667,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,187.05 ,0.00 ,187.05 ,TLF*BEAUTIFUL BOUQUET,TLF*BEAUTIFUL BOUQUET,187.05 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8735,155768827,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,629.20 ,0.00 ,629.20 ,TM *TICKETMASTER,TM *TICKETMASTER,629.20 ,0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8737,155796704,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,730.00 ",0.00 ,"2,730.00 ",GolfStatus Golf Event,GolfStatus Golf Event,"2,730.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,-System-,
May 2025,Sentinel Labs Limited (USD),CARDCHRG8750,156084615,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,369.14 ",0.00 ,"1,369.14 ",stichd sportmerchandis,stichd sportmerchandis,"1,010.75 ",0.00 ,GBP,1.35458,43600 Enterprise Sales - EMEA,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8765,156084610,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,231.97 ,0.00 ,231.97 ,TST*LAVA LAVA BEACH CL,TST*LAVA LAVA BEACH CL,231.97 ,0.00 ,USD,1,40100 Sales Management,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8767,156084611,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,54.87 ,0.00 ,54.87 ,TST*LAVA LAVA BEACH CL,TST*LAVA LAVA BEACH CL,54.87 ,0.00 ,USD,1,40100 Sales Management,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8769,156084613,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,099.00 ",0.00 ,"1,099.00 ",AWS EVENTS* REINFORCE2,AWS EVENTS* REINFORCE2,"1,099.00 ",0.00 ,USD,1,42000 Channel Sales,-System-,
May 2025,"SentinelOne, Inc.",CARDCHRG8771,156084614,,Credit Card,,68100,68100 Sales Related Expenses : Sales Conference & Services,"2,324.48 ",0.00 ,"2,324.48 ",THE LANDING,THE LANDING,"2,324.48 ",0.00 ,USD,1,42000 Channel Sales,-System-,
May 2025,"SentinelOne, Inc.",JOURNAL118184,JE118184,,Journal,,68100,68100 Sales Related Expenses : Sales Conference & Services,"3,000.00 ",0.00 ,"3,000.00 ",AP Accrual - May 2025 Open PO accruals,AP Accrual - May 2025 Open PO accruals 16867-1,"3,000.00 ",0.00 ,USD,1,40100 Sales Management,Yazhi Liu,No
May 2025,"SentinelOne, Inc.",JOURNAL118842,JE118842,,Journal,,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,938.02 ",0.00 ,"1,938.02 ",May'25 - US Inactive Department Reclass,May'25 - US Inactive Department Reclass,"1,938.02 ",0.00 ,USD,1,,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL117704,JE117704,JE117703,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"1,616.37 ","(1,616.37)",Brex May CC Accrual,Brex May CC Accrual,0.00 ,"1,616.37 ",USD,1,43500 Enterprise Sales - AMER,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL117704,JE117704,JE117703,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,195.37 ,(195.37),Brex May CC Accrual,Brex May CC Accrual,0.00 ,195.37 ,USD,1,40100 Sales Management,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL117704,JE117704,JE117703,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"2,401.52 ","(2,401.52)",Brex May CC Accrual,Brex May CC Accrual,0.00 ,"2,401.52 ",USD,1,42000 Channel Sales,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL123604,JE123604,,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,"6,878.00 ",0.00 ,"6,878.00 ",Brex June CC Accrual,Brex June CC Accrual,"6,878.00 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL123604,JE123604,,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,"2,618.63 ",0.00 ,"2,618.63 ",Brex June CC Accrual,Brex June CC Accrual,"2,618.63 ",0.00 ,USD,1,42000 Channel Sales,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL123604,JE123604,,Journal,"BREX Credit Card [SentinelOne, Inc. USD]",68100,68100 Sales Related Expenses : Sales Conference & Services,"2,174.25 ",0.00 ,"2,174.25 ",Brex June CC Accrual,Brex June CC Accrual,"2,174.25 ",0.00 ,USD,1,43400 MSSP Sales,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL118185,JE118185,JE118184,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"38,000.00 ","(38,000.00)",AP Accrual - May 2025 Open PO accruals,AP Accrual - May 2025 Open PO accruals 13816-2,0.00 ,"38,000.00 ",USD,1,40100 Sales Management,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL118185,JE118185,JE118184,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"15,613.00 ","(15,613.00)",AP Accrual - May 2025 Open PO accruals,AP Accrual - May 2025 Open PO accruals 13816-3,0.00 ,"15,613.00 ",USD,1,40100 Sales Management,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL118185,JE118185,JE118184,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"11,309.12 ","(11,309.12)",AP Accrual - May 2025 Open PO accruals,AP Accrual - May 2025 Open PO accruals 16183-1,0.00 ,"11,309.12 ",USD,1,40100 Sales Management,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL118185,JE118185,JE118184,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"20,234.35 ","(20,234.35)",AP Accrual - May 2025 Open PO accruals,AP Accrual - May 2025 Open PO accruals 16183-2,0.00 ,"20,234.35 ",USD,1,40100 Sales Management,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL124699,JE124699,,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,"38,000.00 ",0.00 ,"38,000.00 ",AP Accrual - June 2025 Open PO accruals,AP Accrual - June 2025 Open PO accruals 13816-2,"38,000.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Jun 2025,"SentinelOne, Inc.",JOURNAL124699,JE124699,,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,"15,613.00 ",0.00 ,"15,613.00 ",AP Accrual - June 2025 Open PO accruals,AP Accrual - June 2025 Open PO accruals 13816-3,"15,613.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Jun 2025,"SentinelOne, Inc.",JOURNAL124709,JE124709,,Journal,"Creative Group, Inc.",68100,68100 Sales Related Expenses : Sales Conference & Services,"234,000.00 ",0.00 ,"234,000.00 ",AP Accrual - June 2025 Manual Accrual,AP Accrual - June 2025 Manual Accrual estimate,"234,000.00 ",0.00 ,USD,1,40100 Sales Management,Andy Lee,No
Jun 2025,"SentinelOne, Inc.",JOURNAL119143,JE119143,,Journal,Cvent Inc.,68100,68100 Sales Related Expenses : Sales Conference & Services,"1,498.60 ",0.00 ,"1,498.60 ",,Amortization Destination,"1,498.60 ",0.00 ,USD,1,43500 Enterprise Sales - AMER,Andy Lee,Yes
Jun 2025,"SentinelOne, Inc.",JOURNAL118185,JE118185,JE118184,Journal,CYBERLAWCON LLC,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"50,000.00 ","(50,000.00)",AP Accrual - May 2025 Open PO accruals,AP Accrual - May 2025 Open PO accruals 16593-1,0.00 ,"50,000.00 ",USD,1,13200 MDR,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL124699,JE124699,,Journal,CYBERLAWCON LLC,68100,68100 Sales Related Expenses : Sales Conference & Services,"50,000.00 ",0.00 ,"50,000.00 ",AP Accrual - June 2025 Open PO accruals,AP Accrual - June 2025 Open PO accruals 16593-1,"50,000.00 ",0.00 ,USD,1,13200 MDR,Andy Lee,No
Jun 2025,"SentinelOne, Inc.",JOURNAL124671,JE124671,,Journal,Exclusive Networks BV (Netherlands),68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,0.00 ,0.00 ,,Rev Rec Destination,0.00 ,0.00 ,USD,1,,Matthew Levinson,Yes
Jun 2025,"SentinelOne, Inc.",JOURNAL118190,JE118190,JE118189,Journal,Hackett Printing LLC,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,500.00 ,(500.00),AP Accrual - May 2025 Pending Invoice approval,AP Accrual - May 2025 Pending Invoice approval  1165,0.00 ,500.00 ,USD,1,40100 Sales Management,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL118185,JE118185,JE118184,Journal,Jack Nadel International,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,113.03 ,(113.03),AP Accrual - May 2025 Open PO accruals,AP Accrual - May 2025 Open PO accruals 16917-1,0.00 ,113.03 ,USD,1,40100 Sales Management,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL124671,JE124671,,Journal,ReliaQuest LLC,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,0.00 ,0.00 ,,Rev Rec Destination,0.00 ,0.00 ,USD,1,,Matthew Levinson,Yes
Jun 2025,"SentinelOne, Inc.",JOURNAL118188,JE118188,JE118187,Journal,West Publishing Corporation,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,"234,000.00 ","(234,000.00)",AP Accrual - May 2025 Manual Accrual,AP Accrual - May 2025 Manual Accrual  - estimate,0.00 ,"234,000.00 ",USD,1,40100 Sales Management,Yazhi Liu,No
Jun 2025,"SentinelOne, Inc.",JOURNAL124671,JE124671,,Journal,White Rock Security,68100,68100 Sales Related Expenses : Sales Conference & Services,0.00 ,279.27 ,(279.27),,Rev Rec Destination,0.00 ,279.27 ,USD,1,,Matthew Levinson,Yes
Jun 2025,"SentinelOne, Inc.",VENDBILL55593,1165,,Bill,,68100,68100 Sales Related Expenses : Sales Conference & Services,447.65 ,0.00 ,447.65 ,Coupa Invoice ID: 36634 - Hackett Printing LLC,President's Club 2025 - Staff Shirts,447.65 ,0.00 ,USD,1,40100 Sales Management,-System-,
